seq_name	seq_desc	pred_gene	gene_desc	e-value	bitscore
sp|O52960|DNAK_APHHA	Chaperone protein DnaK OS=Aphanothece halophytica OX=72020 GN=dnaK PE=2 SV=1	DnaK	Molecular chaperonne DnaK	1.6e-275	910.0
sp|P0A2I3|GYRB_SALTY	DNA gyrase subunit B OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 G	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1076.3
sp|O84193|GYRB_CHLTR	DNA gyrase subunit B OS=Chlamydia trachomatis (strain D/UW-3/Cx) OX=272561 GN=gyrB PE=3 SV=1	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1069.6
sp|Q9X3Y6|GYRB_BACAN	DNA gyrase subunit B OS=Bacillus anthracis OX=1392 GN=gyrB PE=3 SV=2	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1039.0
sp|Q4UKX5|GYRB_RICFE	DNA gyrase subunit B OS=Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) OX=315456 GN=gyrB PE	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1033.9
sp|P22447|GYRB_MYCPN	DNA gyrase subunit B OS=Mycoplasma pneumoniae (strain ATCC 29342 / M129) OX=272634 GN=gyrB PE=1	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1031.6
sp|P47249|GYRB_MYCGE	DNA gyrase subunit B OS=Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195) OX=243273	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1025.2
sp|O08399|GYRB_TREPA	DNA gyrase subunit B OS=Treponema pallidum (strain Nichols) OX=243276 GN=gyrB PE=1 SV=1	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0.0	1024.8
sp|P9WG44|GYRB_MYCTO	DNA gyrase subunit B OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=gyrB	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	6.2e-305	1007.7
sp|P9WG45|GYRB_MYCTU	DNA gyrase subunit B OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=gyrB	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	6.2e-305	1007.7
sp|P77966|GYRB_SYNY3	DNA gyrase subunit B OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gyrB PE=3 SV	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	1.2e-303	1003.5
sp|A0QNE0|GYRB_MYCS2	DNA gyrase subunit B OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 G	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	2.7e-303	1002.3
sp|Q5HK03|GYRB_STAEQ	DNA gyrase subunit B OS=Staphylococcus epidermidis (strain ATCC 35984 / RP62A) OX=176279 GN=gyr	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	1.3e-301	996.8
sp|Q8CQK4|GYRB_STAES	DNA gyrase subunit B OS=Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200) OX=176280	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	1.3e-301	996.8
sp|Q9L7L3|GYRB_MYCPA	DNA gyrase subunit B OS=Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) OX=2623	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	1.8e-301	996.3
sp|Q6GD85|GYRB_STAAS	DNA gyrase subunit B OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=gyrB PE=3 SV=3	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	4.6e-300	991.6
sp|P66937|GYRB_STAAN	DNA gyrase subunit B OS=Staphylococcus aureus (strain N315) OX=158879 GN=gyrB PE=1 SV=2	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	5.3e-300	991.4
sp|P0A4M0|GYRB_STRR6	DNA gyrase subunit B OS=Streptococcus pneumoniae (strain ATCC BAA-255 / R6) OX=171101 GN=gyrB P	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	4.5e-297	981.8
sp|P29435|GYRB_BUCAP	DNA gyrase subunit B OS=Buchnera aphidicola subsp. Schizaphis graminum (strain Sg) OX=198804 GN	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	9.1e-297	980.8
sp|Q5XD05|GYRB_STRP6	DNA gyrase subunit B OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	1.6e-296	980.0
sp|P35886|GYRB_STRCO	DNA gyrase subunit B OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226	GyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	2.3e-287	949.7
sp|P16971|RECA_BACSU	Protein RecA OS=Bacillus subtilis (strain 168) OX=224308 GN=recA PE=1 SV=2	RecA	recombinase RecA	1.5e-178	587.8
sp|P27865|RECA_RHIME	Protein RecA OS=Rhizobium meliloti (strain 1021) OX=266834 GN=recA PE=3 SV=1	RecA	recombinase RecA	1.5e-175	577.9
sp|P24074|RECA_RHILV	Protein RecA OS=Rhizobium leguminosarum bv. viciae OX=387 GN=recA PE=3 SV=1	RecA	recombinase RecA	2.3e-175	577.4
sp|A0AIK0|RECA_LISW6	Protein RecA OS=Listeria welshimeri serovar 6b (strain ATCC 35897 / DSM 20650 / CIP 8149 / NCTC	RecA	recombinase RecA	1.6e-174	574.6
sp|P0A7G9|RECA_SHIFL	Protein RecA OS=Shigella flexneri OX=623 GN=recA PE=3 SV=2	RecA	recombinase RecA	1.7e-174	574.5
sp|P0DJP0|RECA_LISMO	Protein RecA OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=	RecA	recombinase RecA	3e-174	573.7
sp|P21152|RECA_NEIGO	Protein RecA OS=Neisseria gonorrhoeae OX=485 GN=recA PE=3 SV=2	RecA	recombinase RecA	5e-174	572.9
sp|P65977|RECA_SALTY	Protein RecA OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=recA P	RecA	recombinase RecA	5e-174	572.9
sp|Q59717|RECA_PRER2	Protein RecA OS=Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23) OX=264731 GN=recA PE=	RecA	recombinase RecA	2.5e-173	570.7
sp|P94190|RECA_AERS4	Protein RecA OS=Aeromonas salmonicida (strain A449) OX=382245 GN=recA PE=3 SV=2	RecA	recombinase RecA	5.1e-173	569.6
sp|P24542|RECA_METCL	Protein RecA OS=Methylomonas clara OX=417 GN=recA PE=3 SV=1	RecA	recombinase RecA	1.7e-172	567.9
sp|Q8CPF4|RECA_STAES	Protein RecA OS=Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200) OX=176280 GN=recA	RecA	recombinase RecA	6.2e-172	566.1
sp|B0B8M5|RECA_CHLT2	Protein RecA OS=Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B) OX=471472 GN=re	RecA	recombinase RecA	3.4e-169	557.1
sp|Q9RDU0|RECA_PSETO	Protein RecA OS=Pseudomonas tolaasii OX=29442 GN=recA PE=3 SV=1	RecA	recombinase RecA	4.1e-169	556.8
sp|Q8RFY0|RECA_FUSNN	Protein RecA OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC	RecA	recombinase RecA	3.3e-168	553.8
sp|A5VIW7|RECA_LIMRD	Protein RecA OS=Limosilactobacillus reuteri (strain DSM 20016) OX=557436 GN=recA PE=3 SV=1	RecA	recombinase RecA	2.3e-167	551.0
sp|Q5FL82|RECA_LACAC	Protein RecA OS=Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM) OX=272621 GN	RecA	recombinase RecA	3e-167	550.7
sp|P42443|RECA_DEIRA	Protein RecA OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 /	RecA	recombinase RecA	2.4e-166	547.7
sp|Q60101|RECA_XANCP	Protein RecA OS=Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528	RecA	recombinase RecA	1.1e-165	545.5
sp|O30633|RECA_XANOR	Protein RecA OS=Xanthomonas oryzae pv. oryzae (strain KACC10331 / KXO85) OX=291331 GN=recA PE=3	RecA	recombinase RecA	3.3e-165	544.0
sp|P35901|RECA_MYCLE	Protein RecA OS=Mycobacterium leprae (strain TN) OX=272631 GN=recA PE=3 SV=1	RecA	recombinase RecA	1.7e-164	541.6
sp|P0C096|RECA_STRPZ	Protein RecA OS=Streptococcus pyogenes serotype M49 (strain NZ131) OX=471876 GN=recA PE=3 SV=2	RecA	recombinase RecA	1.5e-162	535.2
sp|Q7UZU3|RECA_PROMP	Protein RecA OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX	RecA	recombinase RecA	6.7e-162	533.1
sp|P14582|RECA_SYNP2	Protein RecA OS=Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) OX=32049 GN=recA PE=3 S	RecA	recombinase RecA	2e-160	528.2
sp|P0C2U4|RECA_LACLA	Protein RecA, chromosomal OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=recA	RecA	recombinase RecA	1.5e-158	522.1
sp|A1AIF9|RPOB_ECOK1	DNA-directed RNA polymerase subunit beta OS=Escherichia coli O1:K1 / APEC OX=405955 GN=rpoB PE=	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1983.9
sp|P0A8V2|RPOB_ECOLI	DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=rpoB PE=1	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1983.9
sp|O86094|RPOB_LEGPN	DNA-directed RNA polymerase subunit beta OS=Legionella pneumophila OX=446 GN=rpoB PE=3 SV=1	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1904.4
sp|P37870|RPOB_BACSU	DNA-directed RNA polymerase subunit beta OS=Bacillus subtilis (strain 168) OX=224308 GN=rpoB PE	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1847.8
sp|A0R8H2|RPOB_BACAH	DNA-directed RNA polymerase subunit beta OS=Bacillus thuringiensis (strain Al Hakam) OX=412694	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1828.4
sp|C1ET31|RPOB_BACC3	DNA-directed RNA polymerase subunit beta OS=Bacillus cereus (strain 03BB102) OX=572264 GN=rpoB	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1828.4
sp|B7HJ40|RPOB_BACC4	DNA-directed RNA polymerase subunit beta OS=Bacillus cereus (strain B4264) OX=405532 GN=rpoB PE	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1828.3
sp|Q250P0|RPOB_DESHY	DNA-directed RNA polymerase subunit beta OS=Desulfitobacterium hafniense (strain Y51) OX=138119	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1825.4
sp|O52271|RPOB_RICPR	DNA-directed RNA polymerase subunit beta OS=Rickettsia prowazekii (strain Madrid E) OX=272947 G	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1819.6
sp|P77941|RPOB_RICTY	DNA-directed RNA polymerase subunit beta OS=Rickettsia typhi (strain ATCC VR-144 / Wilmington)	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1812.8
sp|Q9RLT9|RPOB_LISMO	DNA-directed RNA polymerase subunit beta OS=Listeria monocytogenes serovar 1/2a (strain ATCC BA	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1805.8
sp|Q9L0L0|RPOB_STRCO	DNA-directed RNA polymerase subunit beta OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1803.4
sp|P47768|RPOB_STAA8	DNA-directed RNA polymerase subunit beta OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1788.4
sp|Q8CQ84|RPOB_STAES	DNA-directed RNA polymerase subunit beta OS=Staphylococcus epidermidis (strain ATCC 12228 / FDA	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1788.1
sp|Q8DL55|RPOB_THEVB	DNA-directed RNA polymerase subunit beta OS=Thermosynechococcus vestitus (strain IAM M-273 / NI	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1785.0
sp|Q727C7|RPOB_DESVH	DNA-directed RNA polymerase subunit beta OS=Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1782.5
sp|A6TWJ0|RPOB_ALKMQ	DNA-directed RNA polymerase subunit beta OS=Alkaliphilus metalliredigens (strain QYMF) OX=29382	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1769.6
sp|P60281|RPOB_MYCS2	DNA-directed RNA polymerase subunit beta OS=Mycolicibacterium smegmatis (strain ATCC 700084 / m	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1731.9
sp|A0QL49|RPOB_MYCA1	DNA-directed RNA polymerase subunit beta OS=Mycobacterium avium (strain 104) OX=243243 GN=rpoB	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1731.6
sp|Q73SE4|RPOB_MYCPA	DNA-directed RNA polymerase subunit beta OS=Mycolicibacterium paratuberculosis (strain ATCC BAA	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1731.6
sp|P30760|RPOB_MYCLE	DNA-directed RNA polymerase subunit beta OS=Mycobacterium leprae (strain TN) OX=272631 GN=rpoB	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1724.4
sp|P9WGY9|RPOB_MYCTU	DNA-directed RNA polymerase subunit beta OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1719.2
sp|Q2JJ19|RPOB_SYNJB	DNA-directed RNA polymerase subunit beta OS=Synechococcus sp. (strain JA-2-3B'a(2-13)) OX=32133	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1709.1
sp|Q03EA9|RPOB_PEDPA	DNA-directed RNA polymerase subunit beta OS=Pediococcus pentosaceus (strain ATCC 25745 / CCUG 2	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1683.2
sp|Q1GBM5|RPOB_LACDA	DNA-directed RNA polymerase subunit beta OS=Lactobacillus delbrueckii subsp. bulgaricus (strain	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1671.3
sp|Q04C22|RPOB_LACDB	DNA-directed RNA polymerase subunit beta OS=Lactobacillus delbrueckii subsp. bulgaricus (strain	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1671.0
sp|Q8RQE9|RPOB_THET8	DNA-directed RNA polymerase subunit beta OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 /	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1475.7
sp|Q9KWU7|RPOB_THEAQ	DNA-directed RNA polymerase subunit beta OS=Thermus aquaticus OX=271 GN=rpoB PE=1 SV=1	rpoB	DNA-directed RNA polymerase subunit beta	0.0	1464.0
sp|Q31W47|IF2_SHIBS	Translation initiation factor IF-2 OS=Shigella boydii serotype 4 (strain Sb227) OX=300268 GN=inf	infB	translation initiation factor IF-2	1.6e-299	989.5
sp|B1XGY0|IF2_ECODH	Translation initiation factor IF-2 OS=Escherichia coli (strain K12 / DH10B) OX=316385 GN=infB PE	infB	translation initiation factor IF-2	1.6e-299	989.5
sp|B7LHN3|IF2_ECO55	Translation initiation factor IF-2 OS=Escherichia coli (strain 55989 / EAEC) OX=585055 GN=infB P	infB	translation initiation factor IF-2	1.6e-299	989.5
sp|B7NKN7|IF2_ECO7I	Translation initiation factor IF-2 OS=Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057 GN	infB	translation initiation factor IF-2	1.6e-299	989.5
sp|C4ZSQ9|IF2_ECOBW	Translation initiation factor IF-2 OS=Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496	infB	translation initiation factor IF-2	1.6e-299	989.5
